PASSENGERS,FREIGHT,MAIL,DISTANCE,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH,CLASS
75.00,0.00,0.00,846.00,TEM Enterprises dba  Avelo Airlines,14307,"Providence, RI",MKE,"Milwaukee, WI",5,L
75.00,0.00,0.00,1004.00,Southwest Airlines Co.,13342,"Milwaukee, WI",HOU,"Houston, TX",7,F
75.00,0.00,0.00,1389.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",EAU,"Eau Claire, WI",7,L
75.00,0.00,0.00,1389.00,Sun Country Airlines d/b/a MN Airlines,11471,"Eau Claire, WI",IFP,"Bullhead City, AZ",7,L
75.00,0.00,0.00,1829.00,Southwest Airlines Co.,13342,"Milwaukee, WI",SJC,"San Jose, CA",8,F
76.00,0.00,0.00,296.00,Endeavor Air Inc.,10408,"Appleton, WI",DTW,"Detroit, MI",7,F
76.00,0.00,0.00,311.00,Delta Air Lines Inc.,13485,"Madison, WI",DTW,"Detroit, MI",2,L
76.00,0.00,0.00,398.00,SkyWest Airlines Inc.,13485,"Madison, WI",CMH,"Columbus, OH",10,F
76.00,0.00,0.00,1270.00,Southwest Airlines Co.,11540,"El Paso, TX",MKE,"Milwaukee, WI",6,F
76.00,0.00,0.00,1579.00,Sun Country Airlines d/b/a MN Airlines,11203,"Mosinee, WI",RNO,"Reno, NV",2,L
76.00,0.00,0.00,1739.00,Southwest Airlines Co.,14679,"San Diego, CA",MKE,"Milwaukee, WI",8,F
76.00,16710.00,0.00,1745.00,United Air Lines Inc.,13342,"Milwaukee, WI",BUR,"Burbank, CA",5,L
77.00,0.00,0.00,721.00,Breeze Aviation Group DBA  Breeze,10868,"Columbia, SC",MKE,"Milwaukee, WI",3,L
77.00,0.00,0.00,1377.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",LSE,"La Crosse, WI",5,L
78.00,0.00,0.00,778.00,Sun Country Airlines d/b/a MN Airlines,10158,"Atlantic City, NJ",GRB,"Green Bay, WI",3,L
78.00,0.00,0.00,778.00,Sun Country Airlines d/b/a MN Airlines,11977,"Green Bay, WI",ACY,"Atlantic City, NJ",3,L
78.00,0.00,0.00,1377.00,Sun Country Airlines d/b/a MN Airlines,13076,"La Crosse, WI",IFP,"Bullhead City, AZ",4,L
79.00,0.00,0.00,311.00,Delta Air Lines Inc.,11433,"Detroit, MI",MSN,"Madison, WI",2,L
79.00,0.00,0.00,1243.00,Southwest Airlines Co.,13342,"Milwaukee, WI",FLL,"Fort Lauderdale, FL",7,F
79.00,0.00,0.00,1471.00,Alaska Airlines Inc.,13342,"Milwaukee, WI",GEG,"Spokane, WA",9,F
80.00,0.00,0.00,1032.00,Southwest Airlines Co.,13342,"Milwaukee, WI",AUS,"Austin, TX",9,F
80.00,0.00,0.00,1687.00,Delta Air Lines Inc.,13485,"Madison, WI",LAX,"Los Angeles, CA",8,F
80.00,0.00,0.00,1739.00,Southwest Airlines Co.,13342,"Milwaukee, WI",SAN,"San Diego, CA",3,F
81.00,0.00,0.00,160.00,Envoy Air,10408,"Appleton, WI",ORD,"Chicago, IL",4,F
81.00,0.00,0.00,831.00,Southwest Airlines Co.,13342,"Milwaukee, WI",SAV,"Savannah, GA",5,F
81.00,0.00,0.00,887.00,Southwest Airlines Co.,13342,"Milwaukee, WI",PWM,"Portland, ME",10,F
81.00,0.00,0.00,1532.00,Delta Air Lines Inc.,12889,"Las Vegas, NV",GRB,"Green Bay, WI",3,F
81.00,0.00,0.00,1835.00,Southwest Airlines Co.,13796,"Oakland, CA",MKE,"Milwaukee, WI",1,F
81.00,12478.00,0.00,431.00,United Air Lines Inc.,13342,"Milwaukee, WI",PIT,"Pittsburgh, PA",8,L
82.00,0.00,0.00,814.00,Southwest Airlines Co.,10994,"Charleston, SC",MKE,"Milwaukee, WI",8,F
82.00,0.00,0.00,1006.00,Delta Air Lines Inc.,13495,"New Orleans, LA",GRB,"Green Bay, WI",9,L
82.00,0.00,0.00,1455.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",MSN,"Madison, WI",8,L
82.00,0.00,0.00,1455.00,Sun Country Airlines d/b/a MN Airlines,13485,"Madison, WI",IFP,"Bullhead City, AZ",8,L
82.00,12531.00,0.00,853.00,United Air Lines Inc.,11298,"Dallas/Fort Worth, TX",MKE,"Milwaukee, WI",8,L
83.00,0.00,0.00,1113.00,Southwest Airlines Co.,13342,"Milwaukee, WI",SRQ,"Sarasota/Bradenton, FL",6,F
83.00,226.00,0.00,925.00,Southwest Airlines Co.,13342,"Milwaukee, WI",JAX,"Jacksonville, FL",5,F
84.00,0.00,0.00,903.00,Southwest Airlines Co.,13342,"Milwaukee, WI",MSY,"New Orleans, LA",10,F
84.00,0.00,0.00,1243.00,Southwest Airlines Co.,13342,"Milwaukee, WI",FLL,"Fort Lauderdale, FL",10,F
84.00,0.00,0.00,1739.00,Southwest Airlines Co.,13342,"Milwaukee, WI",SAN,"San Diego, CA",6,F
